,y_test,prediction
1034,75.9012,-1139.75
3326,3478.805,2873.84375
1103,5350.3688,2563.875
6440,1113.2176,951.25
2578,2648.5524,2362.625
394,3259.7568,2997.09375
4994,2292.3494,3306.5625
787,129.1652,-835.28125
2152,2348.9424,2038.28125
5105,1230.3984,1725.125
3379,727.0536,954.78125
4800,488.6972,1855.6875
5276,2055.3246,1597.90625
6608,691.1004,1842.9375
7114,3174.5344,3159.09375
6423,569.259,2650.25
5840,1446.1176,1634.8125
3766,5267.8096,3625.84375
5575,885.5139999999999,1496.65625
3779,3563.3616,2063.90625
5977,8474.3024,5066.875
7052,3675.216,3585.375
1082,1584.604,1700.25
7917,743.0328,1389.75
5836,3271.7412,3688.71875
3976,1592.5936,2500.0
1783,2364.9216,2291.625
1414,3420.8804,5126.21875
3724,5000.8238,4153.46875
5605,1607.9070000000002,3321.875
2509,2960.1468,2304.03125
2067,1518.024,2345.8125
2774,1419.4856,1750.5
6630,173.108,-495.28125
1817,4410.2592,3011.46875
3805,2182.4924,3090.375
2081,392.82199999999995,1207.1875
7551,3229.7958,4167.0
5173,2302.3364,2890.34375
3714,5299.768,4119.375
692,4974.1918,4008.75
1235,3235.788,2579.90625
5770,2388.2246,2327.21875
642,3246.4408,2320.375
7419,2444.8176,2170.21875
3315,2956.152,3018.3125
3679,2695.1584,2128.78125
38,388.1614,2109.625
7813,109.1912,-961.375
5155,354.2056,1116.03125
8405,124.5046,139.65625
1180,2190.482,2470.0625
1022,352.874,935.34375
7538,1817.634,2414.53125
8284,197.0768,-248.34375
7975,922.7988,1402.4375
1332,1957.4520000000002,2288.3125
5873,2422.1804,2123.5625
2189,5243.8408,3636.78125
1386,3691.1952,2790.5625
147,1597.92,2664.96875
8244,3964.8390000000004,4306.40625
7158,5592.72,3481.53125
4520,2302.3364,1959.875
3769,3567.3564,4516.78125
5470,1791.6678,1035.375
7898,790.9704,2333.9375
8441,777.6544,1575.5
4919,341.5554,1810.125
196,992.7078,807.125
5367,2596.62,2710.84375
1456,351.5424,1440.53125
277,450.0808,1841.96875
1830,1468.089,722.90625
2172,697.7584,961.96875
3266,5752.512,3347.9375
1379,5816.4288,5239.84375
4844,102.5332,-91.125
6799,459.402,3621.0625
7782,2345.6134,2942.28125
2843,2796.36,3717.84375
1283,1581.275,1069.65625
3375,352.874,846.90625
5739,2087.283,2636.3125
5937,312.926,573.09375
3180,1524.0162,1641.84375
7671,1078.596,505.5
8210,3435.528,3331.8125
2417,3731.809,3114.96875
7299,3352.303,2871.78125
958,1973.4312,2613.78125
6956,2125.2336,1591.71875
3740,91.8804,-937.25
3079,497.3526,1136.1875
5167,683.1108,1905.5
839,2857.6136,1562.6875
39,2180.495,2872.90625
7852,1342.2528,1621.53125
4881,2792.3652,2461.75
6258,2512.7292,2671.46875
7427,884.1824,1599.21875
3603,330.2368,832.8125
7648,1070.6064,1428.625
462,1787.6729999999998,1901.6875
4065,1845.5976,2767.46875
982,384.8324,1221.5625
6296,247.6776,211.5
641,6611.394,3141.40625
454,2683.1740000000004,1440.59375
20,3775.086,3955.375
8401,1395.5168,1511.75
8283,1845.5976,1550.0
3639,390.1588,1379.3125
244,3225.1352,3598.15625
2984,1257.0304,2495.6875
6154,3874.9559999999997,3105.875
3978,882.8508,879.0625
4609,1049.9666,554.34375
6039,1757.7120000000002,2374.21875
882,300.9416,704.375
3443,1150.5024,867.34375
7632,41.9454,-1126.625
4967,3146.5708,2987.375
3634,1601.249,2091.28125
4060,5609.365,4917.03125
651,229.701,-991.5625
1852,874.8612,531.6875
162,3315.684,3188.8125
7043,992.7078,2403.46875
4240,1518.024,3014.71875
6163,1957.4520000000002,2267.75
5863,2387.5588,3018.0
304,7696.648,3400.28125
4853,2852.2872,3263.5
7311,1494.0552,1512.71875
7398,1494.0552,1435.28125
6866,647.8234,1466.375
6943,325.5762,1816.4375
1085,5173.266,4225.40625
7496,2868.2664,3799.125
5165,2954.1546,2750.125
2457,5099.3622,3414.5
8008,2743.7618,3443.25
2813,113.186,184.1875
2214,2936.178,3076.5
1168,2519.3872,1858.9375
8070,868.8689999999999,1735.84375
6148,2740.4328,3069.5625
8253,2896.8958,2410.78125
6913,325.5762,1821.3125
6340,3123.9336,3087.96875
8003,1342.2528,3046.625
1261,2681.8424,2309.96875
296,583.2408,752.5
229,3101.2964,4289.03125
2241,856.8846,1087.125
4407,587.2356,1695.75
221,1416.8224,1450.9375
6982,5073.396,4030.5625
6688,5888.3352,4526.78125
1411,928.791,1084.1875
2549,6381.693,2301.0
4123,4082.6856,2368.25
5435,2127.231,2469.84375
2076,2516.724,2112.625
7886,1857.582,1667.40625
3840,1559.9694,2396.15625
4068,1761.7068,1589.25
5972,549.285,1088.875
7176,2037.348,2677.0625
1091,2503.408,2551.96875
7138,652.484,1086.71875
8141,452.744,735.25
2250,458.0704,1751.59375
4977,2446.815,2525.53125
5518,2463.46,1305.59375
6481,2716.4640000000004,2242.28125
6605,1125.202,2410.03125
4328,5690.5926,2766.59375
8153,1719.7614,2985.5
6289,2247.075,3125.59375
2676,4134.6179999999995,3100.0625
4582,3495.45,3848.6875
5399,2802.3522,1924.625
8412,2203.798,3487.5625
5599,429.441,372.375
4076,2450.144,2675.1875
6436,3506.7686,2272.75
3636,6338.416,2917.40625
841,178.4344,-417.40625
3528,3872.9586,2904.28125
1547,829.5868,567.46875
6724,1454.1072,1981.0625
6853,3098.6332,1982.9375
8046,392.82199999999995,3139.5
1029,1198.44,997.84375
7766,1707.777,1919.25
6670,264.9884,2276.875
8148,3142.5759999999996,3085.375
7355,80.5618,-552.5
4900,3439.5228,2510.46875
6428,1808.9786,2546.34375
5498,309.597,1421.8125
7533,2572.6512,2970.65625
7994,3593.3226,2678.875
3910,1621.8888,3440.21875
2568,659.1419999999999,531.25
2644,884.1824,932.75
733,1807.6470000000002,1940.9375
4105,5522.811,5518.71875
5694,1435.4648,2105.71875
6512,2841.6344,1906.4375
6590,3691.1952,2411.0
5558,6624.71,4306.25
1750,5956.9126,4119.0625
836,145.8102,-1057.28125
2528,6503.5344,3817.0625
4831,858.882,2274.75
5006,1701.7848,2236.9375
7489,614.5334,814.1875
2866,250.3408,236.8125
7154,3835.008,3430.40625
683,1488.0629999999999,1594.03125
499,1298.31,2044.84375
388,717.7324,2395.6875
6101,2999.429,2810.0
3311,1346.2476,3530.3125
6380,3755.112,3093.0625
8404,153.134,-574.03125
119,1141.847,3281.46875
158,1701.7848,2164.09375
6968,755.0172,1412.96875
3986,4250.4672,1720.71875
5962,1641.1970000000001,1656.125
6693,1957.4520000000002,2211.1875
1044,6048.793000000001,4182.03125
3964,2077.2960000000003,1905.40625
6059,3704.5112,3650.84375
4301,3295.71,1632.5
7733,467.3916,529.875
7868,2542.0244,1752.53125
6837,4165.2448,4049.46875
3975,892.8378,1587.9375
6099,567.2616,431.53125
7276,1537.9979999999998,1673.46875
1422,852.2239999999999,1485.125
4561,2183.824,1756.125
6183,3509.4318,2576.375
1644,153.7998,586.21875
2480,782.9808,1282.53125
2877,3165.8790000000004,3339.84375
2491,109.1912,-88.5
1831,1733.7432,2340.875
6464,2195.8084,1970.75
6141,4460.86,2795.875
7016,8062.838000000001,5018.78125
1240,3415.554,3284.0
2542,1211.756,1484.875
4225,233.03,1839.25
6372,2846.295,2484.5625
4220,1571.2879999999998,2621.46875
4418,2530.7058,1919.4375
7542,785.6439999999999,1275.40625
7198,3981.4840000000004,2481.125
2041,633.8416,769.09375
2223,188.4214,1150.1875
3852,1073.2696,1221.6875
1142,3747.1224,4290.03125
5139,988.0472,1975.0
7833,4482.1656,3448.9375
6673,1006.6896,4129.34375
532,95.8752,-1072.625
3222,852.2239999999999,1317.4375
3581,1006.6896,1738.5625
6043,677.1186,3265.8125
7004,870.8664,2371.75
4013,4857.6768,3881.3125
422,3415.554,3724.3125
7899,377.5086,610.75
1373,5426.27,3338.34375
22,1587.2672,3061.0
495,2336.958,2924.46875
4781,2784.3756,2595.5
4270,2360.9268,2109.6875
7680,419.454,1370.375
1718,563.9326,928.40625
1683,990.7104,2655.5625
6415,126.50200000000001,-818.5625
6079,341.5554,648.25
3744,4334.358,2397.625
2388,1004.0264,3589.0625
6024,171.1106,827.5
6619,2316.984,2789.8125
8487,4111.315,3927.15625
144,905.488,906.25
3972,1895.5326,2270.71875
574,37.9506,-993.65625
4018,3392.9168,2173.46875
6526,2145.2076,5262.3125
4873,4302.3996,5252.0625
5968,4996.829000000001,4112.09375
3706,4452.8704,5369.59375
3648,3257.7594,2506.5
3239,3693.8584,3092.40625
1066,2633.9048,1914.6875
167,1743.0644,1736.53125
5318,540.6296,593.78125
1869,1518.024,1628.3125
1666,512.6659999999999,558.0
8265,4026.7584,2583.53125
526,283.6308,2072.0625
2931,196.41099999999997,1208.0
1112,1544.656,2681.5625
8004,2446.1492,3622.625
4872,2940.1728,2955.125
6711,3563.3616,2356.03125
2632,1629.8784,1722.84375
987,5061.4116,3704.4375
6561,1030.6584,2787.59375
1122,1125.202,1552.1875
989,5518.1504,4167.9375
776,857.5504,1559.6875
274,2082.6224,1488.71875
7376,2399.5432,2284.90625
8368,1800.3232,1855.96875
33,2174.5028,1567.1875
5379,926.7936,605.625
5253,5645.984,2512.28125
1478,4211.185,4168.25
6376,2651.2156,1925.9375
2328,1120.5414,1144.71875
8327,3012.0792,2698.25
8101,2189.1504,2880.53125
8192,2908.2144,1868.5
3664,1318.2839999999999,1481.59375
3849,1525.3478,893.875
2270,695.0952,1853.125
6757,2807.0128,2648.34375
1656,3455.502,1927.84375
4364,1411.496,2876.75
152,2768.3964,2825.625
4902,2290.3520000000003,2207.21875
8193,2656.542,2091.875
7588,1845.5976,1616.78125
7484,671.1264,3650.625
487,75.2354,-650.0
5476,193.7478,-801.78125
2420,998.7,3915.78125
2894,1384.1982,3186.28125
3583,5660.6316,3158.09375
1070,952.7598,795.125
134,952.0939999999999,2674.65625
7575,641.8312,3916.5
1454,107.8596,-829.53125
5871,129.83100000000002,368.125
5864,1201.769,1105.8125
4512,383.5008,917.96875
3053,34.6216,-1122.25
7286,1102.5648,997.3125
5397,61.9194,-761.65625
6970,1416.8224,1083.5625
2560,1609.9044,2219.125
2026,3425.5409999999997,3665.25
6578,1418.154,1516.09375
3069,1736.4064,3297.78125
318,3877.6192,2302.1875
4189,3238.4512,2825.53125
5306,1054.6272,1453.71875
3391,2376.906,1895.59375
1121,593.2278,1090.875
6576,1034.6532,774.3125
2899,2709.1402,3239.90625
7082,2801.6864,2833.84375
5268,1323.6104,3301.65625
4323,978.7260000000001,701.28125
6096,1747.725,1927.0625
1643,1198.44,2377.90625
6614,406.13800000000003,755.59375
2134,490.0288,1948.0625
1382,639.168,673.9375
5061,402.809,1218.96875
6124,1062.6168,1536.1875
5455,982.7208,2004.375
4425,998.7,1648.625
4355,4327.7,3432.9375
509,95.8752,-439.125
3671,2036.6822,1947.875
6900,4314.384,3132.25
3286,8138.7392,5510.21875
7951,4218.5088,4140.3125
7245,517.3266,977.34375
2453,1325.6078,1849.53125
6906,6454.931,4330.8125
971,615.1992,1000.4375
313,1677.816,2483.90625
7871,1677.816,2221.84375
3202,539.298,551.875
5759,784.9782,2243.0
5583,3520.0846,3333.125
4858,1607.2412,1408.375
7248,1289.6546,1663.53125
7802,1444.1202,2567.875
8220,2621.9204,2047.71875
558,2876.256,3102.53125
4904,4673.916,2512.25
276,7452.9652,4033.03125
1540,716.4008,1037.5625
7511,3111.9492,2659.9375
3474,755.0172,20.0625
4139,394.1536,550.0
1984,4086.0146,3758.03125
2285,3202.498,2094.40625
2615,7201.2928,5010.28125
3891,1358.2320000000002,1509.5
7784,2681.8424,2179.25
6444,3844.995,3801.875
6308,691.1004,1816.1875
1942,3105.9570000000003,3138.40625
2569,4402.2696,2464.46875
1977,2713.135,3189.28125
1220,2884.2456,2299.15625
5601,3113.2808,3578.03125
8499,2976.1259999999997,1738.28125
3182,1142.5128,1430.625
2381,4374.306,3863.8125
2585,4225.1668,3137.25
6390,4434.228,3496.28125
4887,1749.7224,1853.125
8066,4171.9028,2650.6875
286,296.9468,543.8125
994,2982.784,2638.65625
2586,139.81799999999998,-1176.0
4753,3793.7284,2725.875
1952,554.6114,1389.3125
7984,1245.046,1691.96875
7356,974.0654,1467.90625
5904,517.9924,4022.34375
72,4604.6728,2530.5
519,5344.3766,5046.375
5081,1342.2528,1587.75
4978,1784.344,2825.375
7150,4407.596,3439.34375
548,2094.6068,1737.96875
2888,2167.179,1737.65625
7428,1845.5976,1656.71875
1892,1583.9382,2053.46875
8007,262.3252,2136.71875
6702,1179.1318,846.1875
5356,1158.492,3127.1875
1955,1514.695,1572.78125
5362,1006.6896,1753.625
7667,2253.0672,2089.09375
2190,934.7832,519.53125
5564,751.0224,1049.53125
3711,1619.2256,1648.09375
1675,2007.3870000000002,2348.9375
6257,1342.2528,2186.09375
842,1470.0864,1032.375
247,974.7312,2665.1875
8025,207.7296,-1053.8125
8516,858.882,649.53125
4110,2621.9204,1649.5
3573,1518.024,2389.8125
2217,2428.8384,2309.3125
7779,1258.362,1403.5625
4339,1114.5492,1943.75
5553,2456.802,3868.28125
6285,2902.888,2303.5625
5335,339.55800000000005,685.3125
3993,529.9768,2239.0
3485,666.4658,857.78125
3996,110.5228,-73.84375
2565,3844.995,3109.3125
4999,2324.9736,3821.0625
6934,2616.594,4257.0625
4770,253.00400000000002,128.34375
3083,7534.1928,2952.71875
725,918.804,2158.28125
2682,3531.4032,2340.84375
7922,801.6232,2463.0
1741,614.5334,843.8125
6721,1573.9512,2152.8125
6897,3261.7542,2361.0625
779,597.2226,818.4375
50,3134.5864,2415.9375
4696,2534.0348,3595.5625
7639,123.17299999999999,194.875
7978,3350.3056,2948.4375
406,5770.4886,3409.34375
4234,3379.6008,3022.625
5514,3880.2824,2074.25
4034,107.8596,147.8125
6652,715.0692,1938.46875
2655,2066.6432,2090.28125
2141,5294.4416,4490.375
6291,441.4254,1979.71875
6519,2504.7396,2166.8125
2617,1522.0188,2309.28125
6784,610.5386,1409.84375
3465,1518.024,2875.53125
156,262.3252,1826.34375
8502,3020.0688,3387.90625
2795,308.9312,634.15625
6627,343.5528,885.0625
6518,2259.0594,3913.84375
578,4655.2736,3877.8125
4302,3338.987,3099.0625
8096,1163.8184,1081.96875
2948,3868.9638,3086.0625
4004,4327.7,4221.3125
2872,796.9626,783.84375
2653,4195.8716,2931.15625
8111,363.5268,1298.25
1308,343.5528,1950.5
317,452.744,1820.25
5587,1231.73,701.6875
5817,596.5568,515.5625
7573,3435.528,2324.96875
2958,3350.3056,2977.9375
1812,1597.92,1652.34375
7785,3146.5708,2794.53125
2531,2087.9488,2350.03125
4627,4727.18,3131.21875
7289,1651.184,1748.90625
4957,298.2784,-711.21875
6418,185.0924,-410.0
188,2336.958,2901.4375
2004,4777.7808,3208.09375
4235,494.0236,606.09375
5129,3427.5384,2525.3125
217,260.9936,2254.09375
2405,2109.2544,1809.125
5168,282.2992,763.21875
3753,3998.7948,3478.5625
1978,447.4176,937.21875
4226,476.04699999999997,1531.21875
5992,3243.7776,3862.21875
6005,1693.7952,1792.5625
2767,185.7582,1885.5625
2760,2588.6304,2312.875
4160,1938.8096,2329.1875
4338,5704.5744,4648.78125
1334,4098.6648,1786.375
1597,1893.5352,2831.84375
7482,3467.4864,1498.4375
8335,708.4112,867.0
1833,1985.4156,2311.5
7970,2157.192,2830.03125
1514,3368.948,3760.65625
2887,6359.7216,3875.5
2423,1225.072,1040.34375
6035,88.5514,-440.78125
7301,3728.48,2914.90625
1063,568.5932,435.5
4912,4853.682,2925.28125
1172,2251.7356,1928.125
8105,1155.8288,1432.125
2929,4604.6728,3793.34375
7323,1188.453,3710.03125
1972,1120.5414,1141.4375
1768,1398.18,1601.625
122,186.424,-326.125
4488,1406.1696,1378.5625
1529,3749.7856,2616.15625
1621,3755.112,3035.71875
7278,326.242,716.90625
4942,2221.1088,2858.0
1928,1897.53,1981.875
2890,2846.295,2738.75
1087,1522.0188,3953.46875
5036,4094.67,2545.6875
8437,2596.62,1648.96875
6129,1693.7952,2194.0
294,5499.508000000001,4520.28125
7132,2449.4782,3167.4375
6197,2526.7110000000002,3272.46875
7870,1480.0734,2680.4375
5439,1581.9408,1080.78125
8438,3034.0506,2230.75
1642,211.7244,-50.09375
1234,872.198,1290.0
1185,822.263,639.15625
3046,295.6152,452.90625
384,3523.4136,2147.03125
3756,5552.1062,2555.4375
7476,1494.0552,1410.5625
2663,102.5332,-166.1875
4982,3367.6164,2959.09375
4987,455.4072,496.15625
684,5159.2842,3053.75
8022,5812.434,3024.34375
4085,2120.573,2641.0625
7110,2644.5576,3528.5
1533,1943.4702,1455.59375
451,1816.3024,1397.15625
4237,1404.1722,1231.90625
2640,1288.9888,2397.75
1376,1151.1682,2432.5
1914,515.3292,-375.15625
5866,6636.6944,3694.15625
2980,3101.2964,2849.40625
1490,486.034,1974.875
4629,447.4176,2048.5
5777,335.5632,860.5
4030,1318.2839999999999,1825.9375
1811,468.7232,859.5625
2038,1470.0864,2968.09375
6159,697.0926,1835.5625
5313,750.3566,1726.0625
6134,8217.3036,5465.78125
1536,2320.9788,2558.4375
2604,3956.8494,3027.78125
5598,1882.2166,2692.71875
396,3707.1744,3734.53125
8376,3717.8272,3631.875
6157,583.2408,1488.96875
14,1977.4260000000002,3107.3125
5546,1980.755,3287.53125
1900,4566.0564,3908.34375
2475,361.5294,77.4375
7343,8209.314,4323.6875
6939,886.8456,1194.6875
7658,826.2578,2224.3125
4092,647.1576,2325.96875
4857,722.393,1391.0
5603,169.77900000000002,898.3125
4178,653.1498,3468.5
7160,1318.2839999999999,1420.5625
8407,575.2512,2279.25
6752,882.8508,2415.34375
4716,3182.5240000000003,2617.75
90,369.519,169.28125
5421,2149.2024,2773.15625
5326,3950.1914,3711.09375
5632,2852.2872,2460.46875
5354,272.978,-1042.90625
8167,1857.582,2274.90625
3126,2090.612,3150.78125
6020,1218.414,854.75
3050,3761.77,2402.59375
3490,1687.1372,3812.15625
6669,1670.4922,1992.4375
4948,1981.4208,3889.5
6047,1488.0629999999999,1574.03125
15,1547.3192,917.5
1315,1413.4934,1828.28125
8484,2324.9736,1934.71875
2693,3408.8959999999997,4197.75
5183,2458.1336,2749.8125
6413,447.4176,1112.3125
5296,3159.8868,3772.71875
5248,3709.8376,4120.25
6271,3463.4916,3122.875
1357,2428.8384,1537.1875
2429,2797.6916,4079.21875
7349,485.3682,997.125
2364,4793.76,2636.375
4502,158.4604,1391.0
4542,3835.008,1831.65625
3493,535.969,1384.40625
5095,331.5684,-11.3125
5178,1539.9954,2350.25
794,505.3422,905.3125
6618,1677.816,2897.40625
1633,3861.64,2897.125
2804,2316.984,2993.71875
3413,1717.764,2287.75
8184,4731.1748,3973.375
5451,1134.5232,1551.75
8271,2548.0166,2451.125
2613,211.7244,-222.6875
4891,6608.065,4138.1875
2351,1761.7068,2083.84375
7313,3068.0064,2373.53125
1722,1197.7742,2406.25
6046,848.895,1046.875
2178,1607.2412,1482.34375
8430,4042.7376,2827.3125
7010,5591.3884,2323.25
5900,3994.8,2598.15625
6070,1334.2632,1843.15625
2812,617.8624,1130.96875
1865,2328.9684,3093.3125
6679,4979.5182,4421.03125
2933,3119.9388,3693.40625
1651,109.85700000000001,-1211.1875
356,3163.8816,2270.8125
7330,2285.0256,1694.53125
4523,3374.2744,3356.6875
3025,284.9624,350.59375
6317,4466.1864,2721.96875
2412,4845.0266,3952.96875
4216,1747.0592,3458.21875
3243,777.6544,861.46875
5134,1470.0864,1131.5625
7055,4103.9912,2835.3125
6473,353.5398,697.34375
1705,6524.84,3781.875
6727,1211.756,1916.96875
4193,2716.4640000000004,3115.40625
6951,1470.0864,807.28125
6354,307.5996,637.3125
5740,5321.0736,3128.5625
7442,343.5528,686.5
5927,1488.0629999999999,1731.5625
5366,111.1886,-112.6875
3160,2175.1686,2784.125
6551,2609.936,2989.9375
42,2527.3768,3082.28125
4616,3323.0078,2034.15625
3374,3739.1328,2421.625
2162,1312.9576,864.3125
2396,3073.9986,2619.75
3042,2137.218,3344.125
2892,1576.6144,1771.28125
5057,114.5176,-943.40625
8077,1696.4584,2109.71875
3609,209.727,771.65625
5415,3629.9416,1780.53125
369,1230.3984,1873.90625
5079,669.1289999999999,908.65625
5478,3124.5994,2500.0
2260,2070.638,3271.1875
6109,1655.1788,1285.15625
3000,2145.2076,3757.4375
6292,1457.4362,2171.0625
844,6515.5188,3956.71875
7171,3728.48,4396.9375
6759,1366.2216,1681.9375
6699,753.6856,1136.875
2519,982.055,683.09375
6502,568.5932,754.65625
8388,2155.1946,2726.71875
5673,3243.7776,3645.5
1788,145.1444,461.0625
7584,4567.388,3919.84375
3093,5681.2714,3849.53125
4498,5229.1932,3896.125
4059,1097.9042,1083.875
3433,427.4436,2130.8125
633,437.4306,501.84375
4734,2302.3364,4203.6875
3488,420.7856,-181.65625
629,1640.5312,1614.5
125,868.8689999999999,1498.96875
5969,6897.688,2791.59375
719,145.8102,1034.40625
200,745.696,1844.375
2755,3275.736,1789.09375
8308,3193.8426,3503.84375
6162,645.826,138.96875
5193,5394.9774,3755.09375
8319,4210.5192,3813.9375
8048,1098.57,468.34375
1595,1288.9888,1496.5625
1997,306.268,1223.25
4017,539.298,1087.28125
521,314.2576,594.3125
2551,1120.5414,1764.0
1654,5522.811,4075.3125
8087,6199.9296,4040.8125
5554,1347.5792,2084.8125
7618,974.7312,696.03125
7628,2163.85,3484.59375
5723,458.0704,959.65625
3564,1667.1632,3233.5625
1437,6018.1662,4034.4375
4823,2376.906,2773.625
1733,814.9392,1656.125
8506,3944.865,3690.75
3790,2109.2544,2816.3125
7581,167.7816,-481.875
1284,3014.7424,2964.46875
5758,2519.3872,1944.53125
1259,169.1132,853.65625
6651,1973.4312,1734.4375
737,1470.0864,2011.0
7467,850.8924,1826.90625
2590,842.237,309.40625
7687,2069.3064,1511.875
1278,1917.504,2592.59375
2658,3672.5528,2078.1875
6288,958.752,1602.15625
704,2756.4120000000003,2471.03125
8262,3271.7412,2022.125
8176,809.6128,1656.71875
3207,2606.607,1458.875
295,925.462,1525.9375
6395,2871.5954,2394.1875
2747,261.6594,1466.625
3896,622.523,135.03125
2921,2093.2752,2764.90625
4096,1263.0226,2905.8125
6889,952.0939999999999,1636.28125
4097,1445.4518,1790.59375
572,2770.3938,2422.0
3121,3415.554,2860.96875
4848,3146.5708,2933.625
5422,4604.6728,2816.21875
3874,2450.144,2028.40625
6859,3163.8816,4594.75
6174,922.7988,703.03125
837,5063.409000000001,3243.46875
7943,934.7832,1933.8125
1829,122.5072,104.28125
